customer_id,loan_type,loan_amount,emi,default_flag,credit_score,LoanType,LoanStatus,InterestRate,TenureYears
14595,Personal,939654.47,20979.81,1,810,Home Loan,Active,11.03,9
22147,Home,550937.39,2512.57,1,767,Business Loan,Active,14.15,10
18968,Auto,118035.27,9134.45,1,508,Education Loan,Closed,13.24,5
5190,Home,582649.53,24768.18,1,754,Personal Loan,Closed,14.28,20
5490,Education,939056.38,4603.47,0,352,Auto Loan,Closed,9.4,3
18911,Personal,970776.18,24160.77,0,686,Home Loan,Closed,14.39,3
18189,Education,369958.03,10639.65,0,396,Business Loan,Closed,11.87,5
22517,Personal,960821.3,20201.24,0,643,Personal Loan,Closed,14.4,15
11189,Personal,426989.8,1623.64,0,835,Business Loan,Closed,12.83,2
16797,Auto,998797.7,24028.74,1,649,Education Loan,Closed,11.23,2
14698,Auto,426654.97,11602.36,1,725,Personal Loan,Closed,10.68,9
10858,Home,470601.74,12366.65,1,526,Auto Loan,Closed,8.96,6
22652,Personal,922761.48,16340.42,0,433,Personal Loan,Active,7.04,17
5205,Auto,734781.83,18226.41,1,848,Home Loan,Active,12.82,15
12079,Personal,280910.33,17573.91,1,663,Business Loan,Closed,11.96,3
4012,Education,534920.48,17694.68,1,672,Auto Loan,Closed,10.36,12
12781,Education,199928.22,24976.6,0,452,Education Loan,Closed,9.23,17
9261,Education,932162.65,13802.96,1,504,Personal Loan,Closed,9.01,11
14522,Personal,609016.92,19768.61,1,723,Auto Loan,Closed,14.76,7
4050,Personal,268375.34,20471.49,0,657,Home Loan,Closed,12.74,13
18639,Education,602024.75,21909.62,0,818,Auto Loan,Closed,9.31,20
15285,Auto,927707.98,23303.51,1,480,Business Loan,Closed,11.26,2
8828,Personal,713623,22920.42,0,840,Business Loan,Closed,11.62,1
20119,Personal,808908.24,1157.39,0,318,Personal Loan,Closed,7.35,2
21691,Auto,489037.04,13025.52,0,440,Education Loan,Active,9.86,9
16888,Personal,583014.68,7458.25,1,474,Education Loan,Closed,13.19,18
4125,Personal,928282.06,15197.58,1,657,Personal Loan,Active,7.17,19
24231,Education,112860.55,23448.77,0,445,Personal Loan,Active,7.82,12
6465,Auto,231252.25,19606.91,0,503,Personal Loan,Closed,10.12,18
10903,Auto,279740.9,11901.19,1,549,Auto Loan,Closed,8.52,3
4285,Personal,304862.08,4354.33,1,743,Auto Loan,Closed,9.91,18
1310,Personal,666615.13,7333.85,0,575,Home Loan,Active,12.17,5
8641,Auto,114754.81,22672.31,0,743,Auto Loan,Closed,12.46,16
19242,Auto,578578.26,22514.41,0,417,Home Loan,Active,8.06,16
2575,Education,541511.54,17864.83,0,359,Personal Loan,Active,13.3,20
24598,Personal,760498.98,18004.81,0,733,Education Loan,Closed,8.13,6
10371,Personal,809477.94,19724.76,1,491,Business Loan,Active,7.15,5
22914,Personal,133601.89,6136.65,1,458,Education Loan,Active,14.66,3
21793,Auto,275239.83,17874.63,0,808,Education Loan,Closed,14.16,9
15902,Education,254804.91,8125.33,0,449,Auto Loan,Closed,8.89,11
8499,Auto,606722.22,6084.33,0,590,Education Loan,Active,8.25,5
3837,Education,493977.61,24360.89,0,445,Education Loan,Active,10.75,2
3178,Personal,441425.63,2936.16,1,359,Personal Loan,Active,12.76,16
3752,Personal,662284.96,12536.9,0,620,Education Loan,Active,12.7,10
9469,Personal,110555.87,18305.27,0,488,Home Loan,Active,11.44,5
4503,Auto,410536.04,20463.51,0,612,Education Loan,Closed,10.91,19
2959,Home,185186.76,21645.11,0,735,Auto Loan,Closed,13.88,20
1672,Personal,955862.2,18911.84,1,405,Personal Loan,Closed,13.44,5
8789,Home,637641.33,11147.35,0,677,Home Loan,Active,13.28,2
13292,Auto,442817.07,11735.02,0,420,Auto Loan,Closed,8.7,4
3741,Auto,345987.04,24159.65,1,576,Home Loan,Closed,9.91,1
6684,Auto,783071.01,9846.75,0,538,Education Loan,Closed,14.04,15
24185,Education,844906.62,8460.06,1,757,Business Loan,Active,9.79,13
3607,Education,809937.88,22430.89,0,422,Business Loan,Closed,12.81,3
182,Home,56670.97,14167.48,0,484,Education Loan,Active,9.22,3
8457,Auto,563683.92,19585.94,0,776,Home Loan,Closed,9.48,20
1798,Personal,711896.8,6381.53,1,524,Home Loan,Closed,8.46,11
1162,Personal,333485.67,23294.58,1,301,Personal Loan,Closed,13.6,6
19851,Education,480293.9,10455.28,1,316,Education Loan,Closed,12.56,9
16118,Education,72797.54,6211.15,1,790,Home Loan,Closed,7.7,20
24696,Personal,514305.6,24088.84,1,833,Auto Loan,Closed,13.51,6
7407,Education,75058.66,18073.74,1,809,Auto Loan,Closed,12.6,14
18626,Education,587717.96,12748.51,0,773,Home Loan,Active,13.56,1
11191,Personal,356158.76,12743.43,1,303,Personal Loan,Closed,8.65,17
7551,Auto,487760.81,4477.98,0,407,Auto Loan,Closed,13.28,8
23484,Education,597469.25,5816.95,1,489,Business Loan,Closed,12.32,3
6702,Home,865444.43,21481.66,0,535,Auto Loan,Closed,10.63,11
3298,Home,338837.25,7291.72,1,809,Home Loan,Active,10.28,1
10462,Home,958120.17,21772.96,1,784,Personal Loan,Active,10.86,15
12098,Personal,311507.99,16386.05,1,597,Education Loan,Active,12.41,6
18041,Auto,414093.13,15991.15,1,636,Education Loan,Closed,13.14,15
17832,Education,114237.19,11119.94,1,444,Business Loan,Active,14.63,2
15339,Education,445143.44,15312.86,1,634,Personal Loan,Closed,11.3,1
15665,Home,323774.33,17928.48,1,340,Home Loan,Closed,7.45,12
8810,Education,833355.8,6413.13,0,618,Auto Loan,Active,10.65,15
4700,Education,689333.62,5790.29,0,523,Home Loan,Closed,11.95,13
18469,Auto,436384.77,24637.36,1,712,Education Loan,Closed,8.62,5
7026,Education,947434,9911.53,1,693,Personal Loan,Active,10.19,8
19721,Education,571365.45,15796.24,1,607,Personal Loan,Active,12.28,5
9597,Personal,933884.51,22369.21,0,755,Education Loan,Closed,11.58,15
16385,Auto,560459.82,11002.38,0,468,Education Loan,Active,12.63,19
4570,Personal,787053.17,20484.36,1,349,Auto Loan,Active,12.19,12
18290,Personal,181834.16,8681.36,0,431,Personal Loan,Closed,10.15,18
6091,Home,591130.73,23985.13,1,458,Auto Loan,Active,13.18,18
16523,Home,724706.36,9067.15,0,446,Education Loan,Closed,8.8,12
7460,Education,531711.44,23374.41,1,624,Business Loan,Closed,10.65,19
10131,Personal,867108.45,1437.21,1,551,Business Loan,Closed,9.49,15
3146,Personal,314437.59,4322.75,0,491,Auto Loan,Active,13.24,19
23815,Auto,929141.81,21824.17,1,635,Home Loan,Closed,8.55,20
11273,Personal,572943.68,19586.8,0,839,Home Loan,Closed,8.38,4
2760,Education,503712.67,7604.92,0,323,Education Loan,Active,14.22,2
18607,Education,478767.25,18591.89,0,745,Auto Loan,Closed,9.26,12
3003,Education,675189.79,10845.28,1,714,Personal Loan,Active,13.5,16
2397,Education,978152.96,12052.6,1,391,Home Loan,Active,7.29,5
12086,Auto,198473.69,15659.9,1,777,Business Loan,Closed,8.58,14
19752,Home,445172.82,24550.87,1,732,Home Loan,Active,14.01,17
17839,Personal,270926.68,12182.57,1,678,Education Loan,Active,14.86,5
24258,Home,953788.3,12676.08,0,425,Personal Loan,Closed,9.38,6
160,Auto,991787.27,17507.23,1,620,Education Loan,Active,14.2,19
24027,Personal,603683.35,2679.06,1,667,Education Loan,Closed,9.45,20
9890,Auto,373674.24,1444.06,1,704,Education Loan,Closed,8.57,13
7161,Auto,301570.14,12112.7,0,403,Business Loan,Closed,13.14,8
10832,Education,885836.56,8386.06,1,432,Home Loan,Active,10.03,3
17096,Education,439919.01,1414.01,0,354,Personal Loan,Active,9.6,7
21475,Education,800146.22,22665.34,0,348,Personal Loan,Closed,8.72,13
7474,Home,805953.08,17270.62,1,730,Business Loan,Closed,12.76,10
17557,Auto,503279.15,11732.21,1,794,Education Loan,Active,9.64,18
22975,Auto,639785.27,21715.03,0,385,Business Loan,Active,12.7,4
3370,Home,465055.02,6033.03,0,730,Home Loan,Active,7.2,5
3518,Education,400734.09,24637.05,1,533,Business Loan,Active,9.48,8
6482,Auto,448652.93,5487.45,1,680,Auto Loan,Active,12.96,16
2478,Education,477074.39,21221.09,1,655,Education Loan,Active,7.44,14
3475,Personal,100823.33,24866.28,0,407,Personal Loan,Closed,10.8,18
11127,Home,728553.77,11899.5,1,673,Auto Loan,Active,9.42,15
20610,Education,75517.91,23632.86,0,347,Education Loan,Closed,12.43,16
7592,Education,851152.38,13409.14,1,775,Personal Loan,Closed,12.39,7
11733,Education,418036.18,2224.52,1,793,Personal Loan,Active,8.71,4
23445,Personal,458306.77,19033.8,0,608,Home Loan,Active,14.54,16
20217,Education,777701.53,12176.47,0,712,Education Loan,Active,9.67,1
353,Auto,824754.38,15371.95,0,577,Auto Loan,Active,14.98,8
23434,Personal,767037.38,24655.12,0,662,Auto Loan,Active,7.63,9
15398,Personal,438886.37,18714.26,1,583,Education Loan,Closed,8.13,5
9774,Auto,706066.06,14377.02,1,325,Business Loan,Active,8.3,13
4562,Auto,151164.71,22445.42,1,678,Education Loan,Closed,11.47,19
12232,Auto,265593.53,9141.13,0,379,Auto Loan,Closed,13.75,10
10586,Home,747373.31,10663.01,0,352,Auto Loan,Closed,7.57,17
8082,Auto,732532.68,23884.65,0,495,Business Loan,Closed,9.73,3
23268,Auto,457816.98,24331.89,1,443,Education Loan,Closed,12.76,6
2948,Auto,777958.59,10208.83,1,739,Home Loan,Active,14.75,20
3882,Education,499245.19,16343.96,1,563,Auto Loan,Active,7.66,1
10819,Personal,650233.71,21917.99,1,751,Education Loan,Active,13.19,5
3470,Home,660397.58,11341.9,1,708,Home Loan,Active,10.73,10
14869,Personal,141530.29,3880.18,1,751,Auto Loan,Active,8.13,14
15696,Auto,487806.37,12463.6,0,617,Auto Loan,Closed,10.36,7
1225,Education,192461.76,19736.5,0,505,Auto Loan,Closed,14.76,9
1266,Auto,83390.25,1065.03,1,447,Auto Loan,Active,11.38,16
935,Home,655011.37,1212.85,0,331,Auto Loan,Active,8.58,7
21631,Home,971702.52,22647.22,1,571,Auto Loan,Active,14.38,9
17827,Personal,733974.6,15781.91,0,537,Business Loan,Closed,9.98,20
10800,Auto,687419.84,24519.56,0,425,Personal Loan,Closed,10.64,16
6414,Auto,259399.12,17695.81,0,332,Education Loan,Active,12.99,3
19246,Personal,754371.2,19594.29,0,571,Business Loan,Active,7.43,17
5851,Personal,470466.61,22391.52,0,651,Personal Loan,Closed,14.93,3
313,Personal,752193.63,8890.38,0,842,Education Loan,Closed,11.11,18
6371,Home,248999.97,6728.15,0,696,Personal Loan,Closed,8.49,5
17705,Personal,796897.97,5879.84,0,766,Auto Loan,Active,12.85,17
10017,Home,323423.85,16710.02,0,801,Auto Loan,Closed,14.51,18
9612,Auto,655367.97,22109.34,1,457,Business Loan,Closed,14.63,19
8664,Personal,160595.3,4001.65,1,776,Education Loan,Active,8.66,6
1746,Education,926414.28,11737.81,1,410,Personal Loan,Active,8.81,18
13281,Home,676978.36,14007.81,1,666,Auto Loan,Closed,13.66,1
24717,Auto,924405.88,2087.78,0,559,Personal Loan,Closed,7.59,19
10260,Personal,486194.64,13763.49,1,649,Business Loan,Active,8.23,9
21109,Auto,847502.84,3305.46,0,730,Home Loan,Closed,7.63,5
10360,Personal,492587.33,15274.02,0,776,Personal Loan,Closed,13.69,8
14099,Home,210598.23,14861.58,0,519,Personal Loan,Active,14.55,2
18926,Home,161976.87,23301.31,1,739,Personal Loan,Closed,14.87,2
8250,Personal,214472.04,16427.84,1,847,Home Loan,Active,13.85,1
6688,Auto,894595.34,15827.52,1,338,Education Loan,Closed,8.95,17
6360,Personal,326585.15,2169.89,0,826,Business Loan,Closed,8.17,5
17854,Personal,894849.94,14665.76,1,477,Auto Loan,Active,13.03,17
10096,Auto,399132.04,1928.58,0,457,Home Loan,Closed,10.23,1
21399,Personal,837799.41,24195.02,0,761,Education Loan,Closed,14.66,18
8110,Home,198198.29,16050.9,0,767,Auto Loan,Active,7.17,19
14352,Home,59983.71,19407.58,0,358,Education Loan,Active,7.74,16
11739,Personal,830623.12,23976.72,1,326,Auto Loan,Closed,13.56,19
10645,Personal,665094.35,6791.96,1,769,Education Loan,Active,8.89,5
14500,Education,79504.03,12458.39,0,788,Personal Loan,Active,13.86,9
10337,Personal,59782.54,24611.09,1,464,Personal Loan,Active,11.29,18
6085,Education,788674.46,13209.99,0,478,Home Loan,Closed,12.53,16
2429,Education,981194.25,8906.8,0,722,Business Loan,Closed,11.81,19
5194,Education,610829.16,2564,1,360,Personal Loan,Active,10,13
7127,Home,232169.55,19300.98,0,728,Education Loan,Active,11.82,12
3313,Personal,674804.32,7656.27,1,514,Business Loan,Active,11.9,3
10816,Education,324027.09,4357.24,0,831,Home Loan,Closed,13.54,4
19772,Home,839228.88,10468.97,1,487,Auto Loan,Closed,14.94,5
17480,Education,812979.59,17362.5,0,373,Auto Loan,Active,10.96,5
23008,Education,299771.18,13377.31,0,779,Education Loan,Closed,12.48,16
1865,Auto,540655.2,21004.99,0,840,Education Loan,Active,10.21,13
2716,Home,894399.79,14789.74,1,492,Auto Loan,Active,11.4,6
8083,Home,914203.95,11150.2,0,835,Personal Loan,Active,14.89,18
12138,Personal,854577.51,3709.65,1,702,Home Loan,Closed,12.89,14
8086,Personal,842679.84,18311.28,1,483,Education Loan,Active,12.46,19
21683,Personal,806291.83,8631.37,0,695,Personal Loan,Closed,7.94,18
14495,Personal,438836.76,7378.65,1,772,Home Loan,Active,13.34,15
14380,Education,125058.69,16591.1,1,356,Home Loan,Active,9.89,17
376,Personal,163914.54,20718.07,1,737,Home Loan,Active,13.74,9
1123,Home,715353.06,1290.44,0,561,Personal Loan,Closed,9.33,12
7292,Auto,613812.65,7842.73,0,498,Education Loan,Active,13.85,3
9653,Home,478353.04,15597.9,1,726,Auto Loan,Closed,8.84,2
3287,Auto,275470.32,1308.15,0,370,Home Loan,Active,13.38,18
3307,Home,478159.23,7263.67,0,401,Home Loan,Closed,12.75,19
20528,Auto,698409.99,11986.24,0,414,Auto Loan,Closed,14.72,19
12038,Auto,175033.44,22266.17,1,397,Personal Loan,Active,11.16,3
12362,Education,905266.85,21402.99,1,698,Personal Loan,Closed,8.64,6
19908,Home,587416.8,10773.73,0,799,Education Loan,Active,9.46,3
5389,Home,656689.62,13693.6,1,466,Home Loan,Closed,10.09,9
10287,Education,577124.46,14573.06,1,816,Business Loan,Closed,13.7,18
5789,Auto,371995.87,22434.93,0,343,Auto Loan,Active,7.77,6
6787,Personal,699587.85,24281.78,0,768,Home Loan,Closed,14.28,4
20021,Home,313801.58,21860.13,0,640,Business Loan,Closed,8.41,18
15593,Personal,674853.01,10778.34,1,821,Education Loan,Closed,10.87,11
15158,Education,567219.85,13155.81,0,592,Business Loan,Closed,13.03,6
22171,Personal,471391.27,15761.63,0,804,Auto Loan,Active,12.67,4
16997,Personal,736000.66,1747.95,1,376,Business Loan,Closed,10.82,15
10570,Education,318451.94,20049.02,0,316,Personal Loan,Closed,13.38,19
15268,Home,846675.52,21376.27,0,680,Education Loan,Closed,12.17,14
8662,Home,668652.46,21728.55,0,639,Business Loan,Closed,13.43,19
18275,Auto,392437.3,6447.36,0,811,Business Loan,Closed,8.9,1
23763,Auto,624468.98,14960.56,1,314,Home Loan,Closed,13.45,19
17097,Auto,846526.95,12101.59,1,613,Home Loan,Closed,11.94,5
14555,Home,694780.54,9947.11,0,660,Personal Loan,Closed,7.63,14
23391,Education,685115.5,18996.46,0,563,Education Loan,Active,8.12,7
2471,Auto,449296.25,21616.42,0,418,Auto Loan,Active,12.61,1
13327,Education,677522.39,11870.09,0,479,Education Loan,Active,7.55,16
9769,Home,410607.76,17215.13,1,414,Home Loan,Active,8.65,9
4587,Education,814321.74,23372.74,0,670,Business Loan,Active,11.98,10
19457,Personal,795361.55,4390.19,1,698,Auto Loan,Active,14.96,8
19664,Home,589607.97,7463.36,1,328,Personal Loan,Active,12.23,11
6514,Personal,489122.85,2180.33,0,730,Education Loan,Active,10.28,8
5613,Personal,653470.18,14886.64,0,650,Business Loan,Active,9.74,12
16307,Home,839140.67,6303.06,0,516,Business Loan,Active,13.26,18
2857,Auto,981323.39,9248.59,0,843,Personal Loan,Active,8.04,19
4181,Education,282779.22,21396.64,0,422,Personal Loan,Closed,9.17,7
14726,Personal,154381.53,15497.25,0,554,Home Loan,Closed,11,12
15832,Auto,115575.63,14034.74,0,703,Auto Loan,Closed,11.99,11
11629,Education,337553.56,6442.76,0,811,Business Loan,Closed,14.31,5
5107,Personal,761765.74,5575.42,0,421,Education Loan,Closed,11.81,3
24794,Home,154355.19,4385.99,1,740,Personal Loan,Active,10.54,10
23605,Personal,538291.44,9181.68,0,417,Personal Loan,Closed,11.4,16
20411,Education,921454.96,22354.16,0,818,Home Loan,Closed,10.18,8
12767,Personal,844375.04,6349.74,1,492,Auto Loan,Active,7.23,17
24161,Personal,79085.55,11207.43,0,420,Personal Loan,Closed,14.15,5
7072,Home,188462.73,20538.46,1,446,Business Loan,Active,10.02,1
2939,Education,629712.91,6739.34,1,796,Education Loan,Active,14.13,18
11002,Auto,275322.39,19365.11,1,468,Personal Loan,Active,8.95,11
10241,Home,756062.77,22816.32,1,533,Education Loan,Active,7.43,19
18366,Education,218529.84,13874.83,0,710,Business Loan,Active,14.55,5
13162,Home,344533.27,13583.6,0,664,Business Loan,Closed,14.23,4
9935,Auto,616032.69,12966.75,1,304,Auto Loan,Active,12.32,9
10568,Education,503656.53,3931.7,1,745,Education Loan,Active,12.65,2
5807,Education,294805.54,17642.24,0,459,Home Loan,Closed,7.36,12
11417,Personal,240417.12,15532.4,1,781,Home Loan,Active,7.71,4
1041,Personal,529056.91,8100.75,1,305,Education Loan,Closed,11.62,2
